page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
104402974872962,Adriana Tudela al Congreso 2021,Franco Alberto Arfinengo Oliva,6053,62
794646070880649,Dr. Vera - Surco,David Ignacio Vera Trujillo,6039,35
274611865891177,Verónika Mendoza,Verónika Mendoza,6034,8
107674917831466,Ana Cecilia Garzon,Ana Cecilia Garzón Pérez,6016,19
58895017663,Banco Interamericano de Desarrollo,These ads ran without a disclaimer,5987,37
104938247754336,Clara BCP,These ads ran without a disclaimer,5945,12
112652230539548,Preston Melamina,These ads ran without a disclaimer,5940,2
112992267268835,"Cambió Trujillo, Cambiará el Perú - CAP Presidente","Colectivo CAP - Cambió Trujillo, Cambiará el Perú",5900,31
100372761998126,Enver Flores Ojeda,Enver Flores Ojeda 2021,5878,61
1648539058728237,Gerardo Saavedra,Jean Pierre Mori Perez,5814,42
956663201099385,"Jorge Meléndez Celis, Gobernador Regional de Loreto.",Jorge Enrique Meléndez Celis,5784,89
110542577757410,Vota y Vota Bien,"PERSONA, VIDA Y FAMILIA",5737,16
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,5725,14
114869120240314,Pepe Pajuelo Oliveri,Pepe Ernesto Pajuelo Oliveri,5591,16
319944412781748,Efrey Becerra JP3,Adan Efrey Becerra Garay,5533,39
114155063557959,Jean Pierre Combe Portocarrero,Diana Huancaya Matos,5449,7
397709203763895,Lucho Durán,Lucho Duran,5440,88
103903134990350,Digital TVGO,Josué Ubierna Barandiaran,5254,3
314495422404390,Podemos Perú - Lambayeque,Jhonatan Alfredo Flores Cuya,5197,2
100685622016966,Natalia Taco - Oficial,La Oveja Merino,5189,11
1714025882234497,Iuridicas Escuela,These ads ran without a disclaimer,5169,1
117498400158090,Héctor Acuña,Carolina Asis,5107,80
103548778388958,Gabriela Coaguila,Gustvao Martin Medina Sanes,5080,17
181220655403516,Salvador Heresi,Saleh Carlos Salvador Heresi Chicoma,5076,34
107850294470186,Marco Zevallos,Marco Antonio Zevallos Bueno,4990,24
248986568895243,Speechify,These ads ran without a disclaimer,4954,9
104273251982523,Elber Requejo - JP,Requejo Sanchez Elber,4934,44
165365681856956,José Antonio Alvarado,Jonathan Cesar Sanchez Cuya,4916,12
271385249897782,Trujillo 60,n60,4898,189
107204894072263,Ursula Moscoso Martínez,Ursula Pilar Moscoso Martinez,4877,13
106775297428865,Isabel Manrique,Isabel Manrique,4876,60
1593009867670226,Terminantemente Prohibido VOTAR basura,Jose Fernando Espinoza Sinche,4871,35
354279831422895,Washington Capital,These ads ran without a disclaimer,4829,31
1701687773439212,Giancarlo Guido Casassa Sánchez - Alcalde de Surquillo,Giancarlo Guido Casassa Sánchez,4829,161
108063927782769,Raquel Medina,Franck Ray Orosco Valverde,4817,11
89660988793,Asociación Paz y Esperanza,Asociación Paz y Esperanza,4776,87
101645565076595,Enrique Alva,Tracy Mayuri Guillen Montalvan,4750,46
224866162757,Carlos Bruce - Techito,Lu Araujo Canales,4744,59
