,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
1127,1122942664796293,2021-04-09,"['Recuperemos el Perú. Basta de la explotación de nuestros recursos naturales, las transnacionales solo dejan migajas al Perú y encima contaminan al pueblo.\n#VegaPresidente\n#UnionPorElPeru']",2021-04-09,2021-04-12,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '40000', 'upper_bound': '44999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",200,299,40000,44999.0,True,True
1128,206011604249476,2021-04-09,no disponible,2021-04-09,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '15000', 'upper_bound': '19999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",100,199,15000,19999.0,True,True
1129,756004715059990,2021-04-09,['Tiemblan los grupos de poder y la prensa mermelera. Pronto se acabará la mermelada.\nhttps://chat.whatsapp.com/E4iuzNr80nj6kCBHpEGX1x\n#VegaPresidente\n#AntauroLibertad\n#NuevaConstitución #LaCorrupciónEsPenaDeMuerte #PenaDeMuerteParaCorruptos'],2021-04-09,2021-04-11,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '80000', 'upper_bound': '89999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",200,299,80000,89999.0,True,True
1130,4158622614256900,2021-04-09,"['Cometieron un crimen de estado con Antauro, por rebelarse contra el gobierno corrupto de Toledo y ODEBRECHT, el tiempo le dio la razón.\n#VegaPresidente\n#AntauroLibertad']",2021-04-10,2021-04-12,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '100000', 'upper_bound': '124999'}",1511419165829924,Jose Vega,['facebook'],200,299,100000,124999.0,True,True
1131,131478235547925,2021-04-09,['Señor Pedro Castillo basta de engañar a la población. Emplazo no tomar nuevamente el nombre de Antauro porque no tiene moral para hacerlo. #AntauroLibertad #VegaPresidente'],2021-04-10,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",0,99,3000,3999.0,True,True
1132,1257112018019851,2021-04-09,"['Nuestras propuestas contra la corrupción, la delincuencia, contra la prensa mermelera, contra el monopolio, contra la ideología género y contra los abusos que sufren nuestros hermanos campesinos por parte de las mineras y transnacionales.\n📌Nueva Constitución\n📌Pena de muerte para los corruptos, asesinos y violadores de menores !!\n📌Retirar al Perú del Pacto de san José \n📌Industrialización del Perú \n📌reactivar la agricultura, ganadería, piscicultura y apicultura \n📌 Eliminar los contratos Ley ( peajes )\n📌 reducir ministerios, menos burocracia\n📌 Patriotizar el litio, gas, minería y otros recursos naturales\n📌Terminar con el presupuesto para los medios de comunicación mermeleros. \n📌Ley Antimonopolio\n📌Aumentar el PBI en el sector educación y salud\n📌Reforma de la Salud\n📌Carreras técnicas en los colegios\n📌En contra de la idiologia de genero ( defendemos a la familia )\n📌 Devolución AFP y ONP, creación del nuevo sistema de pensiones.\n📌 Regulación de los precios de hidrocarburos ( combustibles )\n📌 Eliminar los Contratos Ley ( peajes )\n📌 Expulsar a extranjeros delincuentes']",2021-04-09,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '25000', 'upper_bound': '29999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",100,199,25000,29999.0,True,True
1133,2831738973806434,2021-04-09,"['Nuestras propuestas contra la corrupción, la delincuencia, contra la prensa mermelera, contra el monopolio, contra la ideología género y contra los abusos que sufren nuestros hermanos campesinos por parte de las mineras y transnacionales.\n📌Nueva Constitución\n📌Pena de muerte para los corruptos, asesinos y violadores de menores !!\n📌Retirar al Perú del Pacto de san José \n📌Industrialización del Perú \n📌reactivar la agricultura, ganadería, piscicultura y apicultura \n📌 Eliminar los contratos Ley ( peajes )\n📌 reducir ministerios, menos burocracia\n📌 Patriotizar el litio, gas, minería y otros recursos naturales\n📌Terminar con el presupuesto para los medios de comunicación mermeleros. \n📌Ley Antimonopolio\n📌Aumentar el PBI en el sector educación y salud\n📌Reforma de la Salud\n📌Carreras técnicas en los colegios\n📌En contra de la idiologia de genero ( defendemos a la familia )\n📌 Devolución AFP y ONP, creación del nuevo sistema de pensiones.\n📌 Regulación de los precios de hidrocarburos ( combustibles )\n📌 Eliminar los Contratos Ley ( peajes )\n📌 Expulsar a extranjeros delincuentes']",2021-04-09,2021-04-12,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '70000', 'upper_bound': '79999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",200,299,70000,79999.0,True,True
1134,291956382283238,2021-04-09,['Pena de muerte para corruptos y violadores de menores.\n#VegaPresidente\n#AntauroLibertad'],2021-04-09,2021-04-11,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '80000', 'upper_bound': '89999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",200,299,80000,89999.0,True,True
1135,908702639962697,2021-04-09,['Llevando el mensaje Patriótico. Por este mensaje es que la prensa mermelera nos ¡TIENEN MIEDO!\n#VegaPresidente\n#UnionPorElPeru\n#LaCorrupciónEsTraciónAlaPatria\n#AntauroLibertad \n#BelmontAlCongreso\n#NuevaConstitucion'],2021-04-10,2021-04-11,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",1511419165829924,Jose Vega,['facebook'],0,99,3000,3999.0,True,True
1136,488570029221609,2021-04-09,['Llevando el mensaje Patriótico. Por este mensaje es que la prensa mermelera nos ¡TIENEN MIEDO!\n#VegaPresidente\n#UnionPorElPeru\n#LaCorrupciónEsTraciónAlaPatria\n#AntauroLibertad \n#BelmontAlCongreso\n#NuevaConstitucion'],2021-04-10,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",1511419165829924,Jose Vega,['facebook'],0,99,3000,3999.0,True,True
